"Gene" "GATAdSY" "GATAdNS" "CG11504SY" "CG11504NS" "Cf2.IISY" "Cf2.IINS" "jimSY" "jimNS" "MitfSY" "MitfNS" "CG5953SY" "CG5953NS" "MadSY" "MadNS" "TrlSY" "TrlNS" "CG3407SY" "CG3407NS" "CG12236.PBSY" "CG12236.PBNS" "HLHmbetaSY" "HLHmbetaNS" "jigr1SY" "jigr1NS" "Deaf1SY" "Deaf1NS" "MedSY" "MedNS" "lolaSY" "lolaNS" "HgtxSY" "HgtxNS" "MetSY" "MetNS" "Aef1SY" "Aef1NS" "netSY" "netNS" "CG3838SY" "CG3838NS" "ExdSY" "ExdNS" "ttk.PFSY" "ttk.PFNS" "CG15601SY" "CG15601NS" "Lag1SY" "Lag1NS" "aseSY" "aseNS" "atoSY" "atoNS" "D19ASY" "D19ANS" "srpSY" "srpNS" "ftz.f1SY" "ftz.f1NS" "brSY" "brNS" "ClkSY" "ClkNS" "lunaSY" "lunaNS" "brkSY" "brkNS" "catoSY" "catoNS" "tgoSY" "tgoNS" "Hr78SY" "Hr78NS" "HandSY" "HandNS" "Fer3SY" "Fer3NS" "AchiSY" "AchiNS" "br.Z4SY" "br.Z4NS" "pnrSY" "pnrNS" "br.Z2SY" "br.Z2NS" "CG9437SY" "CG9437NS" "br.Z1SY" "br.Z1NS" "Eip74EFSY" "Eip74EFNS" "OliSY" "OliNS" "Xrp1SY" "Xrp1NS" "deiSY" "deiNS" "zSY" "zNS" "CtSY" "CtNS" "MioSY" "MioNS" "apSY" "apNS" "EcRSY" "EcRNS" "br.PLSY" "br.PLNS" "lola.PASY" "lola.PANS" "lola.PCSY" "lola.PCNS" "lola.PDSY" "lola.PDNS" "foxoSY" "foxoNS" "Cf2.PASY" "Cf2.PANS" "MaxSY" "MaxNS" "lola.PJSY" "lola.PJNS" "lola.PLSY" "lola.PLNS" "br.PASY" "br.PANS" "lola.POSY" "lola.PONS" "lola.PQSY" "lola.PQNS" "lola.PTSY" "lola.PTNS" "lola.PUSY" "lola.PUNS" "lola.PWSY" "lola.PWNS" "lola.PYSY" "lola.PYNS" "panSY" "panNS" "sqzSY" "sqzNS" "Adf1SY" "Adf1NS" "br.Z3SY" "br.Z3NS" "l.1.scSY" "l.1.scNS" "Cf2.PBSY" "Cf2.PBNS" "kaySY" "kayNS" "CG11294SY" "CG11294NS" "exdSY" "exdNS" "lola.PGSY" "lola.PGNS" "ApSY" "ApNS" "scSY" "scNS" "sdSY" "sdNS" "Length" "Set"
"1" "4EHP" 0.125 0.125 0.125 0 2.625 0.75 0.25 0 0.25 0 0.75 0 0.375 0 0.25 0.125 0.25 0.125 0.5 0.375 0 0 0 0.125 2.25 1.5 0 0.25 0.375 0 1.625 0.125 0.25 0 1.125 0.75 0 0 0.375 0 1.125 0 0.125 0.25 0.375 0.125 0 0 0 0 0.5 0.125 0.125 0 0.125 0.125 0.5 0 0 0 0 0 0 0.125 0.25 0 0 0 0 0 0 0 0.25 0 0 0 0.75 0 5.5 0.75 1.125 0.125 1.25 0.875 0.25 0.125 1.375 0.5 0.25 0 0 0 0 0 0 0 0.25 0.25 0.125 0.625 0.25 0 7.125 1.875 0.125 0 0.375 0 0.375 0 0.625 0 0 0 0.125 0 0.5 0 0 0 0.25 0 0 0.125 0.75 0 0.5 0 0.375 0 0 0 0.125 0 0.125 0.125 0 0 1.625 0 0.25 0 0 0.25 2 0.75 0 0 0 0 0.25 0 2 0 8 2.5 0.5 0.125 2.625 0.25 0 0 0.125 0.125 8 "RNAseq"
"2" "Aats-lys" 0.667 0.333 0 0 4.667 2.333 3.333 0 0 0 0 0 0.333 0.333 0 0 0 0 0.667 0 0 0 0 0 2.333 2.667 0 0 0 0.333 3 1 0.333 0 0 0.333 0 0 0.333 0 1.333 0.667 0 0 0.333 0 0 0 0 0.333 0.667 0.333 0 0 0.667 0 0.333 0.333 0.333 0 0 0 0.333 0 0.333 0.667 0 0 0 0 0 0 0.667 0 0.333 0 0.667 0.667 8.667 1.667 1.667 0 2.667 1.667 0.333 0 2 1 0.333 0 0 0 0 0 0 0 0 0 0 0.333 0.667 0 6.667 5 0 0.333 1 0 1.333 0 0.667 0 0 0 0.667 0 0 0.667 0 0 0.333 0 0 0 0.667 0 0.333 0 0.667 0 0.667 0 0.333 0 0 0 0 0 1.333 0 2 0 0.333 0.667 1.333 0.333 0 0 0.667 0 0 0 2 0 5 1.333 0 1 3 0.667 0 0 0 0 3 "RNAseq"
"3" "aay" 0.143 0 0.143 0 2 0.286 0 0 0 0 0.143 0 0.143 0.143 0.143 0 0 0 1.286 0.143 0 0 0 0 1.571 1.143 0.143 0.143 0 0 0.286 0 0 0 0.857 1.286 0.143 0 0.286 0 1 0.286 0 0 0.429 0 0 0 0 0 0.286 0 0 0 0.286 0 0.429 0 0.143 0 0 0 0.286 0 0 0 0 0 0 0 0 0.143 0 0 0 0 0.429 0.143 3.857 0.571 0.857 0 0.857 0.286 0 0.143 0.857 0.286 0 0 0.143 0 0 0 0.143 0 0.286 0 0.714 0.286 0 0 7.714 1.857 0 0 0.143 0 0.429 0.143 0.143 0 0 0 0.143 0 0.143 0 0 0 0.143 0 0 0 0.714 0.143 0.286 0 1.143 0 0.143 0 0.286 0.143 0.571 0 0 0.143 0.429 0.143 0.286 0 0.286 0.143 1.286 0.571 0.286 0 0.286 0 0 0 0.143 0 4.714 0.857 0.286 0 0.429 0 0.143 0 0 0.143 7 "RNAseq"
"4" "Abi" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 1 1 2 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 9 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 3 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 5 2 1 0 1 1 0 0 0 0 1 "RNAseq"
"5" "AcCoAS" 0.75 0 0 0 1.75 1 0 0 0.25 0 0.25 0 0 0 0 0 0.25 0 1 0.5 0 0 0 0 1.25 1.5 0.25 0 0.25 0 1.25 0 0.5 0 0.5 0.75 0.25 0 0.5 0 1.75 0.25 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0.75 0 0.25 0 0 0 0 0 0.25 0 0.25 0 0 0 0.25 0 0 0 0 0 1.5 0.25 5.5 0.5 1.25 0 1 0.5 0 0 1.25 0.5 0 0 0 0 0 0 0 0 0 0 1.25 0.75 0.5 0 7.75 3.5 0 0 0 0.25 0.25 0 0.75 0 0 0.25 0.25 0 0.5 0 0 0 0 0 0.25 0 0.5 0 0 0 1.5 0 1 0 0.75 0.25 0.25 0 0.25 0 0.5 0 0 0 0 0 1.75 0.75 0 0 0 0 0 0 1.5 0 4 1.25 0 0.25 1.25 0.25 0 0 0 0 4 "RNAseq"
"6" "Adh" 0 0 0 0 3 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 1.5 1 0 0 0.5 0 2.5 0 1 0 0 0.5 0 0 0.5 0 1 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1.5 0 8.5 0.5 1.5 0 1 1 0 0 1 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 7 1 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 1 0 1 0 0 0 0.5 0 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0.5 1 0 0 0 0.5 0 0 0 1 0 1 0 0.5 0 2 0.5 0 0 0 0 2 "RNAseq"
"7" "adp" 0 0 0 0 0.25 0.5 0 0 0 0 0 0 0.25 0 0 0 0.5 0 3 0.25 0 0 0.25 0 2.5 1 0 0 0 0 0 0 1 0 3 2.25 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.25 0 0.5 0 0 0 0.25 0 0 0 0.25 0.25 0.5 0 0 0 0 0 0 0 0 0 0.75 0.25 2.5 0 0.25 0 0.75 0 0.25 0 0.75 0 0 0 0 0 0.5 0 0 0 0 0 0.75 0.75 0 0 3.25 2 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0.5 0 0.25 0 0 0 0.25 0 0.25 0 2 0.5 0 0 0 0 0.25 0 0 0 0.25 0 0 0 0 0 1.25 0.5 0 0 0 0 0 0 0.25 0 3.25 0.75 0 0 0 0 0 0 0 0 4 "RNAseq"
"8" "Aef1" 0 0 0 0 2.5 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 1 0.5 0 0 0 0 2 0 0 0.5 0 0 0.5 0 0 0 1.5 1 1 0 0 0 0.5 0 1 0 0.5 0 1.5 0 0 0 0.5 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0 0 4.5 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 6 3 0.5 0 0.5 0 1 0 0 0 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0 0 0.5 0.5 1.5 0 0.5 0 0.5 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0.5 0 0.5 0 0 0 0 0 2 "RNAseq"
"9" "AGO1" 0.3 0.1 0 0 2.3 0.7 0.8 0 0.2 0 0 0.1 0.1 0 0.3 0.1 0.1 0 0.9 0 0 0 0.3 0 1.1 0.5 0.2 0.1 0.5 0 0.5 0.3 0 0 0.6 0.2 0 0 0.1 0 1.2 0 0 0 0 0.1 0 0 0 0 0 0.1 0 0 0.7 0 0.4 0 0.3 0 0 0 0 0.1 0.4 0.1 0 0 0 0 0.1 0 0 0 0 0 0.8 0.2 5.6 0.3 0.7 0 0.8 0.8 0.2 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0.6 0.3 0 0 5.8 2.6 0 0 0.5 0.2 0.4 0.1 0.1 0 0 0 0.2 0.1 0.2 0 0 0 0.7 0 0.1 0 0.7 0 0.2 0 0.4 0 0.1 0.1 0.2 0.1 0.5 0.2 0.1 0.1 0.9 0.2 0.5 0 0.1 0.1 1.2 1 0 0 0.3 0 0 0 0.8 0.1 7 1.1 0.5 0.1 1.3 0.4 0 0 0 0 10 "RNAseq"
"10" "AGO2" 0 0 0 0 3.5 0.5 0 0 0.25 0 0.25 0 0.25 0 0 0 0 0.25 0.5 0 0 0 0 0 1.75 0.5 0 0.25 0 0 2 0.25 0 0 0.75 0.5 0 0 0.25 0 0.75 0 0 0 0.5 0 0 0.25 0.25 0 0 0 0 0 0 0 0.25 0 0.25 0 0 0 0 0 0 0 0 0.25 0 0 0 0.25 0 0 0 0 0.75 0 3.75 0.25 0.5 0 0.25 0.75 0 0 0.5 0 0.25 0.25 0 0 0.5 0 0 0 0 0 0.25 0 0 0 6.25 1.25 0 0 0.25 0 0.5 0.25 0.25 0 0 0 0.25 0 0.5 0 0 0 0 0 0.25 0 0.25 0 0.25 0 0.5 0 0 0.25 0 0.25 0.25 0.25 0 0 0.5 0 0 0 0.25 0 1 0.5 0 0 0.25 0 0 0 2 0 2 1 0.25 0 2.25 0.25 0 0 0 0.25 4 "RNAseq"
